"Source","Estudiante","Tarea","Tipología textual","Tema","Edad","Sexo","País","L1","Estudios","Edad de inicio en el estudio del español","Número de meses estudiando español","Contactos personales en países de habla española","Contexto a la izquierda","Elemento gramatical 1","Etiqueta 1","Lema 1","Palabra ortográfica 1","Información adicional 1","Contexto a la derecha"
"A1IR.xlsx","777","2164","Nota/aviso","Nota llegar tarde",36,"Hombre","Francia","Francés","Universidad",35,12,"Amigos","Hago deporte y entonces vamos","ir","VMNP","ir",NA,NA,"de copas con mis amigos en discoteca ."
"A1IR.xlsx","781","2175","Correo electrónico","Cambio trabajo",36,"Mujer","Francia","Francés","Otros",14,36,"No","Me gusta","ir","VMNP","ir",NA,NA,"a el cine y ver exposiciones tambien ."
"A1IR.xlsx","1975","5565","Correo electrónico","Cambio trabajo",62,"Hombre","Francia","Francés","Universidad",62,4,"No","Me gusto también algos actividades que halgo solo , como tocar piano y","ir","VMNP","ir",NA,NA,"a el cine ."
"A1IR.xlsx","636","1766","Correo electrónico","Cambio trabajo",60,"Mujer","Francia","Francés","Secundaria",58,11,"Amigos","Me gusta de","ir","VMNP","ir",NA,NA,"a el cine , de leer libros de "" Mary_Higgins_Clark "" y de ver la television sobre_todo en mi sillon"
"A1IR.xlsx","371","1027","Nota/aviso","Nota llegar tarde",25,"Mujer","Líbano","Francés","Universidad",24,5,"Amigos&Familiares","Esta profesora es muy stricta y no me puede","ir","VMNP","ir",NA,NA,"mas pronto ."
"A1IR.xlsx","794","2214","Correo electrónico","Cambio trabajo",62,"Mujer","Francia","Francés","Universidad",1,4,"Amigos&Familiares","Me gusta hacer la comida para mis amigos y también","ir","VMNP","ir",NA,NA,"beber una copa con les ."
"A1IR.xlsx","1270","3587","Nota/aviso","Nota llegar tarde",33,"Mujer","Francia","Francés","Universidad",33,2,"Familiares","Tengo que","ir","VMNP","ir",NA,NA,"a la compra para hacer un regalo a miguel ."
"A1IR.xlsx","1972","5556","Correo electrónico","Cambio trabajo",63,"Hombre","Francia","Francés","Primaria",63,4,"No","No hago mucho deporte , pero me encanta","ir","VMNP","ir",NA,NA,"a el estadio para veer un partido de rugby ."
"A1IR.xlsx","483","1342","Correo electrónico","Cambio trabajo",35,"Mujer","Marruecos","Francés","Universidad",34,8,"No","marido , escuchar la música hip_hop , leer los novelas , nadar , comprar , jugar con mi hijos y","ir","VMNP","ir",NA,NA,"a el parque de atracciones también andar en el paseo marítimo ."
"A1IR.xlsx","1239","3495","Correo electrónico","Familia",58,"Hombre","Francia","Francés","Universidad",58,3,"No","yo voy a","ir","VMNP","ir",NA,NA,"te buscar en la estacion a las seis_y_media ."
