Estudiante,Tarea,Tipología textual,Tema,Edad,Sexo,País,L1,Estudios,Edad de inicio en el estudio del español,Número de meses estudiando español,Contactos personales en países de habla española,Contexto a la izquierda,Elemento gramatical 1,Etiqueta 1,Lema 1,Palabra ortográfica 1,Información adicional 1,Contexto a la derecha
778,2167,Nota/aviso,Nota llegar tarde,23,Hombre,Colombia,Francés,Secundaria,16,5,No,Es un viaje para dos es porque salgo la casa ahora por ,ir,VMNP,ir,,,a el sol ! lluego la proxima semana ! lo siento 
2042,5753,Correo electrónico,Familia,71,Hombre,Francia,Francés,Otros,13,10,No,Quieren tambien ,ir,VMNP,ir,,,"de compras con amigos , ir a el cine y comer o cenar . "
840,2342,Correo electrónico,Cambio trabajo,61,Mujer,Francia,Francés,Universidad,60,4,No,"Yo voy a el cine 3 o 4 vez per semana , y todos los fines de semana ",voy,VMIP1S,ir,,,a andar en el campo . 
840,2343,Nota/aviso,Nota llegar tarde,61,Mujer,Francia,Francés,Universidad,60,4,No,"Lo deseo mama , pero seguro que tu comprendes que estoy tan contenta que ",voy,VIIP1S,ir,,,a buscar la a la estacion y despues vamos a comer en un pequeño restaurante que conoces bien donde se 
831,2318,Correo electrónico,Cambio trabajo,68,Mujer,Francia,Francés,Universidad,1,4,No,"No hago deporte , pero ",voy,VMIP1S,ir,,,a_menudo hacer senderismo . 
791,2207,Correo electrónico,Familia,57,Hombre,Francia,Francés,Secundaria,57,4,Familiares,No conoces mi familia : ,voy,VIIP1S,ir,,,a te presentar la . 
840,2342,Correo electrónico,Cambio trabajo,61,Mujer,Francia,Francés,Universidad,60,4,No,Yo ,voy,VMIP1S,ir,,,"a el cine 3 o 4 vez per semana , y todos los fines de semana voy a andar en "
1463,4138,Correo electrónico,Cambio trabajo,37,Mujer,Guinea,Francés,Primaria,1,9,Otros,Voy que invitar le para salir a la playa porque me chifla los lugares ventilados y creo que ,voy,VIIP1S,ir,,,que sentar muy bien con suyo . 
1463,4139,Nota/aviso,Nota llegar tarde,37,Mujer,Guinea,Francés,Primaria,1,9,Otros,Lo prometo ,voy,VIIP1S,ir,,,que volver no tarde . 
840,2342,Correo electrónico,Cambio trabajo,61,Mujer,Francia,Francés,Universidad,60,4,No,"Tomo mi mochillo , mi perro y ",voy,VMIP1S,ir,,,con amigos a pasear por 2 dias . 
